filename,uid,url,timestamp,download_status,file_size,image_shape
gdt_20250909_135356_0001.png,b67e3f3a-ce67-48a2-998b-3b2590e2a088,https://www.gdt.gov.vn/TTHKApp/captcha.png?uid=b67e3f3a-ce67-48a2-998b-3b2590e2a088,2025-09-09T13:53:56.607220,success,1132,130x50
gdt_20250909_135358_0002.png,a2aed7e7-1dde-404e-af87-01d2d39f3af9,https://www.gdt.gov.vn/TTHKApp/captcha.png?uid=a2aed7e7-1dde-404e-af87-01d2d39f3af9,2025-09-09T13:53:58.779643,success,1313,130x50
gdt_20250909_135400_0003.png,c1bb09ea-cea2-448b-80e9-ae4ae24f7bc4,https://www.gdt.gov.vn/TTHKApp/captcha.png?uid=c1bb09ea-cea2-448b-80e9-ae4ae24f7bc4,2025-09-09T13:54:00.964586,success,1044,130x50
gdt_20250909_135403_0004.png,a8db2f9d-dfca-4166-a138-8127964b1ae2,https://www.gdt.gov.vn/TTHKApp/captcha.png?uid=a8db2f9d-dfca-4166-a138-8127964b1ae2,2025-09-09T13:54:03.022008,success,1255,130x50
gdt_20250909_135405_0005.png,0bb7cb9f-c2d4-44e8-a128-9cc53f8a4775,https://www.gdt.gov.vn/TTHKApp/captcha.png?uid=0bb7cb9f-c2d4-44e8-a128-9cc53f8a4775,2025-09-09T13:54:05.065325,success,798,130x50
gdt_20250909_135407_0006.png,bece2e46-8ce3-4f0e-b3e4-ad1e22d773a2,https://www.gdt.gov.vn/TTHKApp/captcha.png?uid=bece2e46-8ce3-4f0e-b3e4-ad1e22d773a2,2025-09-09T13:54:07.112414,success,1342,130x50
gdt_20250909_135409_0007.png,9df9b474-54f0-4df1-a517-c5e760566da0,https://www.gdt.gov.vn/TTHKApp/captcha.png?uid=9df9b474-54f0-4df1-a517-c5e760566da0,2025-09-09T13:54:09.144915,success,1370,130x50
gdt_20250909_135411_0008.png,0fe2ac0b-2697-4038-8e0f-05d1e3b4b104,https://www.gdt.gov.vn/TTHKApp/captcha.png?uid=0fe2ac0b-2697-4038-8e0f-05d1e3b4b104,2025-09-09T13:54:11.197282,success,1059,130x50
gdt_20250909_135413_0009.png,ed18b80c-01e2-4784-9cc4-76631abf558f,https://www.gdt.gov.vn/TTHKApp/captcha.png?uid=ed18b80c-01e2-4784-9cc4-76631abf558f,2025-09-09T13:54:13.255067,success,1303,130x50
gdt_20250909_135415_0010.png,cd4cd047-6852-466c-9a8d-a1ddb376ee4f,https://www.gdt.gov.vn/TTHKApp/captcha.png?uid=cd4cd047-6852-466c-9a8d-a1ddb376ee4f,2025-09-09T13:54:15.303008,success,1279,130x50
